시도,시군구,읍면동,리,행정구역코드,종말처리시설명,업소수(개)_총계,폐수발생량(㎥/일)_총계,폐수방류량(㎥/일)_총계,BOD발생부하량(kg/일)_총계,TN발생부하량(kg/일)_총계,TP발생부하량(kg/일)_총계,BOD배출부하량(kg/일)_총계,TN배출부하량(kg/일)_총계,TP배출부하량(kg/일)_총계,업소수(개)_종말처리장 연계,폐수발생량(㎥/일)_종말처리장 연계,폐수방류량(㎥/일)_종말처리장 연계,BOD발생부하량(kg/일)_종말처리장 연계,TN발생부하량(kg/일)_종말처리장 연계,TP발생부하량(kg/일)_종말처리장 연계,BOD배출부하량(kg/일)_종말처리장 연계,TN배출부하량(kg/일)_종말처리장 연계,TP배출부하량(kg/일)_종말처리장 연계,업소수(개)_직접 방류,폐수발생량(㎥/일)_직접 방류,폐수방류량(㎥/일)_직접 방류,BOD발생부하량(kg/일)_직접 방류,TN발생부하량(kg/일)_직접 방류,TP발생부하량(kg/일)_직접 방류,BOD배출부하량(kg/일)_직접 방류,TN배출부하량(kg/일)_직접 방류,TP배출부하량(kg/일)_직접 방류,업소수(개)__위탁 처리,폐수발생량(㎥/일)__위탁 처리,폐수방류량(㎥/일)_위탁 처리,BOD발생부하량(kg/일)_위탁 처리,TN발생부하량(kg/일)_위탁 처리,TP발생부하량(kg/일)_위탁 처리,BOD배출부하량(kg/일)_위탁 처리,TN배출부하량(kg/일)_위탁 처리,TP배출부하량(kg/일)_위탁 처리
서울특별시,중구,충무로2가,,1114012500,,12,0.5,0,0.16,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0.16,0.06,0,0,0,0
서울특별시,중구,명동1가,,1114012600,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,중구,명동2가,,1114012700,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
서울특별시,중구,남산동2가,,1114012900,중랑물재생센터,1,23,23,3.17,0.92,0.23,0.21,0.03,0,1,23,23,3.17,0.92,0.23,0.21,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,남산동3가,,1114013000,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,중구,충무로4가,,1114013200,,32,1,0,0.33,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0.33,0.13,0,0,0,0
서울특별시,중구,충무로5가,,1114013300,중랑물재생센터,1,3,3,0.3,0.12,0.03,0.12,0,0,1,3,3,0.3,0.12,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,충무로5가,,1114013300,,28,0.7,0,0.23,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0.23,0.09,0,0,0,0
서울특별시,중구,인현동2가,,1114013400,,40,1.6,0,0.53,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0.53,0.2,0,0,0,0
서울특별시,중구,예관동,,1114013500,,12,0.3,0,0.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.08,0.03,0,0,0,0
