행정구역코드,시도,시군구,읍면동,리,합계(㎡),전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
1111017000,서울특별시,종로구,명륜1가,,"193,340",0,0,0,0,"10,256",0,0,"118,246",0,"24,824","1,169",0,0,"28,571",0,0,0,"2,176",0,0,0,"5,615",0,0,"2,483",0,0,0
1111017100,서울특별시,종로구,명륜2가,,"108,496",0,0,0,0,0,0,0,"82,158",0,0,113,0,0,"23,510",0,0,0,"2,122",0,0,0,0,0,0,593,0,0,0
1111017200,서울특별시,종로구,명륜4가,,"74,745",0,0,0,0,0,0,0,"50,680",0,"4,008",126,0,0,"16,046",0,0,"1,306",925,0,0,0,0,0,0,"1,655",0,0,0
1111017300,서울특별시,종로구,명륜3가,,"414,565",0,0,0,0,"101,029",0,0,"170,767",0,"111,283",652,0,0,"26,425",0,0,0,"3,700",0,0,0,0,0,0,516,193,0,0
1111017400,서울특별시,종로구,창신동,,"779,571",0,0,0,0,"26,052",0,0,"546,054",0,"25,851","2,776",0,0,"119,981",252,"7,076","21,845","11,079",0,0,0,"7,884",0,0,"8,608",354,0,"1,761"
1111017500,서울특별시,종로구,숭인동,,"595,377",117,0,0,0,"12,047",0,0,"371,112",0,"13,747","1,262",0,0,"127,795",0,"2,460","11,551","7,522",0,0,0,"33,612",0,0,"3,869","9,332",0,952
1111017600,서울특별시,종로구,교남동,,"22,293",0,0,0,0,0,0,0,"12,619",0,0,0,0,0,"7,786",0,0,"1,538",350,0,0,0,0,0,0,0,0,0,0
1111017700,서울특별시,종로구,평동,,"80,401",0,0,0,0,0,0,0,"63,158",0,0,0,0,0,"14,730",0,0,"2,252",261,0,0,0,0,0,0,0,0,0,0
1111017800,서울특별시,종로구,송월동,,"44,520",0,0,0,0,0,0,0,"27,372",0,0,0,0,0,"11,481",0,0,512,0,0,0,0,"5,105",0,0,0,49,0,0
1111017900,서울특별시,종로구,홍파동,,"41,828",0,0,0,0,0,0,0,"33,016",0,0,0,0,0,"6,576",0,0,0,577,0,0,0,"1,660",0,0,0,0,0,0
1111018000,서울특별시,종로구,교북동,,"29,684",0,0,0,0,0,0,0,"14,065",0,0,0,0,0,"15,075",0,0,0,543,0,0,0,0,0,0,0,0,0,0
1111018100,서울특별시,종로구,행촌동,,"129,261",0,0,0,0,360,0,0,"70,885",0,"13,916",277,0,0,"36,838",0,0,0,526,0,0,0,"6,446",0,0,14,0,0,0
1111018200,서울특별시,종로구,구기동,,"3,710,684","324,155",0,0,0,"2,843,169",0,0,"357,088",0,"13,522",0,0,0,"63,059",0,0,"39,528","19,598",0,0,0,"1,224",0,0,"18,452",0,"1,038","29,851"
1111018300,서울특별시,종로구,평창동,,"5,154,219","149,362",0,0,0,"3,387,282",0,0,"1,197,515",0,"25,146",0,"1,867",0,"227,812",0,0,"80,337","25,064",0,0,0,"29,676",0,0,"9,592",0,"9,963","10,603"
1111018400,서울특별시,종로구,부암동,,"1,547,838","308,599",0,0,0,"631,219",0,0,"432,895",0,0,0,"1,561",0,"94,670",0,0,0,"23,386",0,0,0,283,0,0,"1,761",0,0,"53,464"
1111018500,서울특별시,종로구,홍지동,,"356,755","40,235",0,0,0,"38,446",0,0,"131,109",0,"93,264",0,541,0,"28,551",0,0,"10,243","4,911",0,0,0,0,0,0,"3,391",0,0,"6,064"
