시도,시군구,읍면동,리,행정구역코드,총계(개소),골프장,금은판매점의 세공시설,농축수산물단순가공시설,사진처리 또는 X-Ray 시설,안경점,운수장비정비시설(폐차장포함)
서울특별시,성북구,장위동,,1129013800,21,0,0,0,21,0,0
서울특별시,성북구,정릉동,,1129013300,16,0,0,0,16,0,0
서울특별시,성북구,종암동,,1129013500,18,0,0,0,18,0,0
서울특별시,성북구,하월곡동,,1129013600,18,0,0,0,17,0,1
서울특별시,강북구,미아동,,1130510100,48,0,0,0,45,0,3
서울특별시,강북구,번동,,1130510200,21,0,0,0,21,0,0
서울특별시,강북구,수유동,,1130510300,33,0,0,0,32,0,1
서울특별시,강북구,우이동,,1130510400,2,0,0,0,2,0,0
서울특별시,도봉구,도봉동,,1132010800,15,0,0,0,12,0,3
서울특별시,도봉구,방학동,,1132010600,34,0,0,0,30,0,4
서울특별시,도봉구,쌍문동,,1132010500,26,0,0,0,24,0,2
서울특별시,도봉구,창동,,1132010700,43,0,0,0,35,0,8
서울특별시,노원구,공릉동,,1135010300,33,1,0,0,32,0,0
서울특별시,노원구,상계동,,1135010500,73,0,0,0,66,0,7
서울특별시,노원구,월계동,,1135010200,20,0,0,0,16,0,4
서울특별시,노원구,중계동,,1135010600,28,0,0,0,27,0,1
서울특별시,노원구,하계동,,1135010400,6,0,0,0,5,0,1
서울특별시,은평구,갈현동,,1138010400,26,0,0,0,25,0,1
서울특별시,은평구,구산동,,1138010500,7,0,0,0,7,0,0
서울특별시,은평구,녹번동,,1138010200,7,0,0,0,7,0,0
서울특별시,은평구,대조동,,1138010600,27,0,0,0,27,0,0
서울특별시,은평구,불광동,,1138010300,22,0,0,0,22,0,0
서울특별시,은평구,수색동,,1138010100,8,0,0,0,7,0,1
서울특별시,은평구,신사동,,1138010900,11,0,0,0,11,0,0
서울특별시,은평구,역촌동,,1138010800,13,0,0,0,13,0,0
서울특별시,은평구,응암동,,1138010700,34,0,0,0,34,0,0
서울특별시,은평구,증산동,,1138011000,7,0,0,0,6,0,1
서울특별시,은평구,진관동,,1138011400,6,0,0,0,5,0,1
서울특별시,서대문구,남가좌동,,1141012000,16,0,0,0,16,0,0
서울특별시,서대문구,냉천동,,1141010500,1,0,0,0,1,0,0
서울특별시,서대문구,대현동,,1141011200,4,0,0,0,4,0,0
서울특별시,서대문구,북가좌동,,1141011900,16,0,0,0,15,0,1
서울특별시,서대문구,북아현동,,1141011000,12,0,0,0,12,0,0
서울특별시,서대문구,신촌동,,1141011400,3,0,0,0,3,0,0
서울특별시,서대문구,연희동,,1141011700,8,0,0,0,8,0,0
서울특별시,서대문구,영천동,,1141010800,3,0,0,0,3,0,0
서울특별시,서대문구,옥천동,,1141010700,1,0,0,0,1,0,0
서울특별시,서대문구,창천동,,1141011600,4,0,0,0,4,0,0
서울특별시,서대문구,천연동,,1141010600,2,0,0,0,2,0,0
서울특별시,서대문구,충정로3가,,1141010200,1,0,0,0,1,0,0
서울특별시,서대문구,홍은동,,1141011800,11,0,0,0,9,0,2
서울특별시,서대문구,홍제동,,1141011100,23,0,0,0,22,0,1
서울특별시,마포구,공덕동,,1144010200,9,0,0,0,9,0,0
서울특별시,마포구,구수동,,1144011300,3,0,0,0,3,0,0
서울특별시,마포구,노고산동,,1144011000,14,0,0,0,14,0,0
서울특별시,마포구,대흥동,,1144010800,13,0,0,0,13,0,0
서울특별시,마포구,도화동,,1144010400,12,0,0,0,12,0,0
서울특별시,마포구,동교동,,1144012100,17,0,0,0,17,0,0
서울특별시,마포구,마포동,,1144010700,1,0,0,0,1,0,0
서울특별시,마포구,망원동,,1144012300,18,0,0,0,18,0,0
서울특별시,마포구,상수동,,1144011500,6,0,0,0,6,0,0
서울특별시,마포구,상암동,,1144012700,8,0,0,0,8,0,0
서울특별시,마포구,서교동,,1144012000,35,0,0,0,35,0,0
서울특별시,마포구,성산동,,1144012500,38,0,0,0,38,0,0
서울특별시,마포구,신공덕동,,1144010300,4,0,0,0,4,0,0
서울특별시,마포구,신수동,,1144011100,7,0,0,0,7,0,0
서울특별시,마포구,아현동,,1144010100,9,0,0,0,9,0,0
서울특별시,마포구,연남동,,1144012400,7,0,0,0,7,0,0
서울특별시,마포구,염리동,,1144010900,4,0,0,0,4,0,0
서울특별시,마포구,용강동,,1144010500,5,0,0,0,5,0,0
서울특별시,마포구,중동,,1144012600,6,0,0,0,6,0,0
서울특별시,마포구,창전동,,1144011400,5,0,0,0,5,0,0
서울특별시,마포구,합정동,,1144012200,11,0,0,0,11,0,0
서울특별시,마포구,현석동,,1144011200,1,0,0,0,1,0,0
서울특별시,양천구,목동,,1147010200,54,0,0,0,54,0,0
서울특별시,양천구,신월동,,1147010300,33,0,0,0,30,0,3
서울특별시,양천구,신정동,,1147010100,45,0,0,0,40,0,5
서울특별시,강서구,가양동,,1150010400,34,0,0,0,18,0,16
서울특별시,강서구,개화동,,1150011000,2,0,0,0,0,0,2
서울특별시,강서구,공항동,,1150010800,7,0,0,0,5,0,2
서울특별시,강서구,과해동,,1150011100,3,0,0,0,3,0,0
서울특별시,강서구,내발산동,,1150010600,20,0,0,0,19,0,1
서울특별시,강서구,등촌동,,1150010200,72,0,0,0,40,0,32
서울특별시,강서구,마곡동,,1150010500,5,0,0,0,0,0,5
서울특별시,강서구,방화동,,1150010900,29,0,0,0,25,0,4
서울특별시,강서구,염창동,,1150010100,37,0,0,0,18,0,19
서울특별시,강서구,외발산동,,1150010700,10,0,0,0,1,0,9
서울특별시,강서구,화곡동,,1150010300,82,0,0,0,80,0,2
서울특별시,구로구,가리봉동,,1153010300,7,0,0,0,6,0,1
서울특별시,구로구,개봉동,,1153010700,22,0,0,0,21,0,1
